id	vernacularName	language
3993	Blasser Zwergspanner	de
3993	L'Acidalie disparate, l'Acidalie pâle	fr
3993	Variabele stipspanner	nl
3994	L'Acidalie ombrée	fr
3994	Oranje stipspanner	nl
3994	Rötlichgelber Zwergspanner	de
3995	Geelbruine stipspanner	nl
3995	L'Acidalie rousse	fr
3995	Rötlicher Trockenrasen-Zwergspanner	de
3996	La Phalène rustique, l'Acidalie rustique	fr
3996	Least Carpet	en
3996	Schaduwstipspanner	nl
3996	Südlicher Zwergspanner	de
3997	Grauer Zwergspanner	de
3997	La Vieillie, La Voisine	fr
3997	Paardenbloemspanner	nl
3997	Small Dusty Wave	en
3998	Amberstipspanner	nl
3998	L'Acidalie sinuée	fr
3998	Ochraceous Wave	en
3998	Rostgelber Magerrasen-Zwergspanner	de
3999	Egale stipspanner	nl
3999	L'Acidalie sobre	fr
3999	Olivgrauer Doppellinien-Zwergspanner	de
3999	Plain Wave	en
4000	Graulinien-Zwergspanner	de
4000	L'Acidalie blanchâtre	fr
4000	Satijnstipspanner	nl
4000	Satin Wave	en
4001	Dotted Bordered Wave	en
4001	L'Acidalie sylvestre	fr
4001	Randstipspanner	nl
4001	Weißlichgrauer Zwergspanner	de
4002	L'Acidalie retournée	fr
4002	Südlicher Breitgesäumter Zwergspanner, Blassgelber Vogelknöterich-Kleinspanner	de
4002	Treble Brown Spot	en
4002	Zuidelijke stipspanner	nl
4003	Dagpauwoog	nl
4003	Paon du jour	fr
4003	Tagpfauenauge	de
4003	The Peacock	en
4004	Beukenbladsnijdermot	nl
4005	Gewone witvlekmot	nl
4006	Bosbeswitvlekmot	nl
4007	Berkenbladsnijdermot	nl
4008	Aardbeiwitvlekmot	nl
4009	Moswortelmot	nl
4010	Zandkroeskopje	nl
4011	Italiaans zandkroeskopje	nl
4012	Flambé	fr
4012	Koningspage	nl
4012	Scarce Swallowtail	en
4012	Segelfalter	de
4013	Double Kidney	en
4013	Heremietuil	nl
4013	La Cosmie rétuse	fr
4013	Weidenbusch-Blatteule	de
4014	La Soumise	fr
4014	Olive	en
4014	Pappel-Blatteule	de
4014	Tweekleurige heremietuil	nl
4015	Scherpe streepbandmot	nl
4016	Streepbandmot	nl
4017	V-bandbladroller	nl
4018	Kleine parelmoervlinder	nl
4018	Kleiner Perlmuttfalter	de
4018	Petit Nacré	fr
4018	Queen of Spain Fritillary	en
4019	Frosted Yellow	en
4019	La Phalène bordée, l'Entourée	fr
4019	Oranje bremspanner	nl
4019	Schwarzgesäumter Besenginsterspanner	de
4020	La Fidonie du Trèfle	fr
4020	Mausgrauer Esparsettenspanner	de
4020	Stippelklaverspanner	nl
4021	Valse tijmpalpmot	nl
4022	La Xanthie safranée	fr
4022	Orange Upperwing	en
4022	Safran-Wintereule	de
4022	Wintergouduil	nl
4023	Laubwald-Grünspanner	de
4023	Little Emerald	en
4023	Melkwitte zomervlinder	nl
4023	l'Hémithée éruginée	fr
4024	Heidelbeer-Grünspanner	de
4024	La Phalène perlée	fr
4024	Spaansgroene zomervlinder	nl
4025	Prachtmetaalvlinder	nl
4026	Gekerfde zonneroosjesmot	nl
4027	Grauwe lepelmot	nl
4027	Thymian-Wippflügelfalter	de
4028	Donkere w-uil	nl
4028	La Noctuelle des Mélilots	fr
4028	Trockenrasen-Kräutereule	de
4029	Beautiful Brocade	en
4029	Geoogde w-uil	nl
4029	La Noctuelle contiguë	fr
4029	Pfeilflecken-Kräutereule	de
4030	Bright-line Brown-eye	en
4030	Gemüseeule	de
4030	Groente-uil	nl
4030	La Noctuelle des Potagers	fr
4031	Feuchtwiesen-Kräutereule	de
4031	La Noctuelle du Thélyptéris	fr
4031	Moeras-w-uil	nl
4031	Splendid Brocade	en
4032	Dog's Tooth	en
4032	La Noctuelle enfumée	fr
4032	Variabele w-uil	nl
4032	Veränderliche Kräutereule	de
4033	La Noctuelle thalassine	fr
4033	Pale-shouldered Brocade	en
4033	Schwarzstrich-Kräutereule	de
4033	W-uil	nl
4034	Brede-w-uil	nl
4034	Graufeld-Kräutereule	de
4034	La Noctuelle du Genêt	fr
4034	Light Brocade	en
4035	Gelbbein	de
4035	Le Liparis sale	fr
4035	Moerasspinner	nl
4035	Reed Tussock	en
4036	Witvlekhommelmot	nl
4037	Azuré porte-queue	fr
4037	Großer Wanderbläuling	de
4037	Long-tailed Blue	en
4037	Tijgerblauwtje	nl
4038	Bessenscheutboorder	nl
4038	Johannisbeer-Blattsackfalter, Johannisbeermotte	de
4039	Akelei-uil	nl
4039	La Plusie à C d'or	fr
4039	Wiesenrauten-Goldeule	de
4040	Frambozenscheutboorder	nl
4040	Gewöhnlicher Himbeer-Blattsackfalter, Himbeermotte	de
4041	Bonte granietuil	nl
