id	type	identifier	description	creator	rightsHolder
4272	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OCHRDUPL_iA_01_4JOrvEE.jpg		Jacobs Maarten	Jacobs Maarten
4281	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ODONBIDE_iA_02_TWtXxzm.jpg		Steeman Chris	Steeman Chris
4300	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OPERFAGA_iM_01_02KJH5O.jpg		Jacobs Maarten	Jacobs Maarten
4281	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ODONBIDE_l_01_tEZzfmV.jpg		Baugnée Jean-Yves	Baugnée Jean-Yves
4301	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OPISLUTE_l_01_HyzTaxy.jpg		Voogd Jeroen	Voogd Jeroen
4322	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHVITT_iA_01_4qbLjPX.jpg		Steeman Chris	Steeman Chris
4324	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OURASAMB_iA_01_HRNA2PW.jpg			
4305	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORGYANTI_iM_03.jpg		Steeman Chris	Steeman Chris
4317	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHOBST_iM_03_HSEaeBy.jpg		Steeman Chris	Steeman Chris
4317	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHOBST_iM_04_2SOyhst.jpg		Jacobs Maarten	Jacobs Maarten
4304	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORGYANQU_e_01_dd7aX7y.jpg		Voogd Jeroen	Voogd Jeroen
5281	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ACROTRID_iM_01.jpg	gen.det. Steeman Chris	Steeman Chris	Steeman Chris
6290	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ERIOLANE_iM_02_7BSlUqj.jpg		Steeman Chris	Steeman Chris
5281	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ACROTRID_iW_01.jpg	gen.det. Steeman Chris	Steeman Chris	Steeman Chris
4269	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/Nymphalis_polychloros_2019_06_10_Lahage_1.jpg		Vantieghem Pieter	Vantieghem Pieter
4903	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/STIGZELL_m_03.jpg	mine on *Salix repens*	Steeman Chris	Steeman Chris
6290	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ERIOLANE_l_02_XnAgAwI.jpg	Caterpillars in their communal web on *Prunus spinosa*, more than 110 caterpillars were counted.	Steeman Chris	Steeman Chris
5490	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/APORCRAT_iA_03.jpg		Steeman Chris	Steeman Chris
4903	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/STIGZELL_m_04.jpg	mine on *Salix repens*	Steeman Chris	Steeman Chris
5792	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/CHLOCLOR_iMun_02.jpg	leg. J. Hackray, coll. RBINS.	De Prins Willy	De Prins Willy
5490	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/APORCRAT_iA_04.jpg		Steeman Chris	Steeman Chris
6296	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ERYNTAGE_iA_01_kSAHBMC.jpg		Steeman Chris	Steeman Chris
6281	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ERATAMAS_iA_01_L9Ftdp2.jpg		Steeman Chris	Steeman Chris
4049	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/LAOTPOPU_iM_01_NLCuNbt.jpg	leg. G. De Prins, coll. G. De Prins.	De Prins Guido	De Prins Guido
6409	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUPLQUAD_iA_03.jpg		Steeman Chris	Steeman Chris
6227	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EPIBCOST_iA_01_qM8jwaJ.jpg		Steeman Chris	Steeman Chris
6118	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ECTOHERI_m_02_5gKoubk.jpg		Snyers Chris	Snyers Chris
4302	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OPOGSACC_iA_02_WRfh0U4.jpg		Snyers Chris	Snyers Chris
6293	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ERIOSANG_l_03_KryhIKP.jpg		Steeman Chris	Steeman Chris
6197	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ENARFORM_hab_01_j562uTP.jpg			
4315	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHINCE_l_02_mWImDOG.jpg	larva on *Genista sagitalis*	Baugnée Jean-Yves	Baugnée Jean-Yves
4316	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHMINI_l_01_1Dq1Clm.jpg		Steeman Chris	Steeman Chris
4318	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORTHOPIM_iA_03_FJyYP7N.jpg		Steeman Chris	Steeman Chris
6355	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUPHUNAN_iA_01_GmmMQnA.jpg		Steeman Chris	Steeman Chris
6214	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ENNOFUSC_iM_01.jpg		Steeman Chris	Steeman Chris
6357	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUPIABIE_iA_01_I24lkBR.jpg		Steeman Chris	Steeman Chris
6389	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUPIPULC_iA_01_B043WrL.jpg		Steeman Chris	Steeman Chris
6194	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EMATPUNC_iA_02_vB2FpKo.jpg			
6294	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ERIOSEMI_m_04_jfw4f7c.jpg		Steeman Chris	Steeman Chris
4069	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/LEUCOMIS_m_04_69zbCxy.jpg		Baugnée Jean-Yves	Baugnée Jean-Yves
6294	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ERIOSEMI_m_01_mRZZv4t.jpg		Steeman Chris	Steeman Chris
6346	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EULIMINI_iA_02_39TgXO7.jpg		Jacobs Maarten	Jacobs Maarten
5792	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/CHLOCLOR_iMup_03.jpg	leg. J. Hackray, coll. RBINS.	De Prins Willy	De Prins Willy
6300	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ETHMDODE_iA_01_j59mKwf.jpg		Steeman Chris	Steeman Chris
6119	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ECTOINTI_m_01_DJeI3EZ.jpg	leaf mine on *Salix*	Steeman Chris	Steeman Chris
6234	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EPIBSTIC_iA_02_RzWUHPp.jpg		Baugnée Jean-Yves	Baugnée Jean-Yves
6239	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EPINABBR_iA_04_BS5xSI0.jpg		Janssen Leo	Janssen Leo
4271	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/OCHLSYLV_iW_03_zZ6i5Kp.jpg		Steeman Chris	Steeman Chris
6131	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ECTOWEAV_m_01_3KSbR3D.jpg		Steeman Chris	Steeman Chris
4304	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORGYANQU_iM_01_3xPTxaM.jpg		Voogd Jeroen	Voogd Jeroen
4304	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORGYANQU_p_01_pv0oyoy.jpg		Voogd Jeroen	Voogd Jeroen
6149	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ELACARGE_iA_01_updPCDN.jpg		Steeman Chris	Steeman Chris
6329	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUDEPROF_iA_01_pX15PDK.jpg		Steeman Chris	Steeman Chris
6410	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUPOAMBI_iA_01_qvwDzyc.jpg		Steeman Chris	Steeman Chris
6252	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EPINNISE_iA_01_I9NcEOS.jpg		Steeman Chris	Steeman Chris
4281	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ODONBIDE_iA_03_ayc1v9z.jpg		Steeman Chris	Steeman Chris
6413	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUPRCHRY_iA-01.jpg		Steeman Chris	Steeman Chris
6414	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUPRSIMI_iA_01_Y8rljc0.jpg		Steeman Chris	Steeman Chris
4305	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ORGYANTI_l_01_X3HBYmf.jpg		Steeman Chris	Steeman Chris
5263	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ACROAURI_l_02_VUQZFkj.jpg	newly emerged larva	Voogd Jeroen	Voogd Jeroen
4882	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/STIGPARA_m_01_tqVbY5j.jpg		Steeman Chris	Steeman Chris
5263	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ACROAURI_l_06_PXiBpbA.jpg	young larva	Voogd Jeroen	Voogd Jeroen
4884	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/STIGPLAG_m_01_2xvxYmB.jpg	mine on *Prunus spinosa*	Steeman Chris	Steeman Chris
6123	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ECTOOCCU_m_01_qQ91zD3.jpg		Steeman Chris	Steeman Chris
6201	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ENDOGENT_l_01_t673aqh.jpg	larva in seedhead of *Dipsacus fullonum*	Steeman Chris	Steeman Chris
5792	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/CHLOCLOR_iMun_03.jpg	leg. J. Hackray, coll. RBINS.	De Prins Willy	De Prins Willy
6334	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUDOMERC_iA_01_3PLBBDN.jpg		Steeman Chris	Steeman Chris
6197	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ENARFORM_iA_01_bmLXmSu.jpg		Steeman Chris	Steeman Chris
5792	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/CHLOCLOR_iWup_03.jpg	leg. M. Rémont, coll. RBINS.	De Prins Willy	De Prins Willy
6265	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EPIOREPA_iM_01.jpg		Steeman Chris	Steeman Chris
6215	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ENNOQUER_iM_01.jpg		Steeman Chris	Steeman Chris
6280	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/ERANDEFO_iM_01_ov6G5Oi.jpg		Steeman Chris	Steeman Chris
6310	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUCHNEBU_iA_01_gCRos2v.jpg		Steeman Chris	Steeman Chris
6368	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUPIEXIG_l_03_aYWaCZS.jpg	larva on *Prunus spinosa*	Baugnée Jean-Yves	Baugnée Jean-Yves
6232	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EPIBSCUT_iA_01_w12JnbZ.jpg		Steeman Chris	Steeman Chris
6371	Stillimage	https://projects.biodiversity.be/lepidoptera/media/specimen_pictures/EUPIHAWO_iA_01_6acuwIo.jpg		Steeman Chris	Steeman Chris
