id	taxonID	acceptedNameUsageID	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	informationWithheld	references
5707	5707		Carpatolechia decorella (Haworth, 1812)	Animalia	Insecta	Lepidoptera	Gelechiidae	Carpatolechia		decorella	species	(Haworth, 1812)	accepted	A very rare species in Belgium, rediscovered in 2017 in NA after a long period of absence (BR, 1858). Hitherto only known from a handfull of observations.	2021-03-13	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5707
5711	5711		Carpatolechia proximella (Hübner, 1796)	Animalia	Insecta	Lepidoptera	Gelechiidae	Carpatolechia		proximella	species	(Hübner, 1796)	accepted	A rather common species throughout Belgium.	2021-04-11	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5711
6437	6437		Exaeretia allisella Stainton, 1849	Animalia	Insecta	Lepidoptera		Exaeretia		allisella	species	Stainton, 1849	accepted	A very rare and local species in Belgium, only known from some old records.	2021-03-05	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6437
7366	7366	4787	Semioscopis anella (Hübner, 1796), nec (Denis & Schiffermüller, 1775)	Animalia	Insecta	Lepidoptera		Semioscopis		anella	species	(Hübner, 1796), nec (Denis & Schiffermüller, 1775)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7366
4787	4787		Semioscopis oculella (Thunberg, 1794)	Animalia	Insecta	Lepidoptera		Semioscopis		oculella	species	(Thunberg, 1794)	accepted	A very rare and local early spring species in the southern part of Belgium.	2021-03-05	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4787
6783	6783	5103	Cosmopterix eximia (Haworth, 1828)	Animalia	Insecta	Lepidoptera		Cosmopterix		eximia	species	(Haworth, 1828)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6783
4808	4808		Sophronia humerella (Denis & Schiffermüller, 1775)	Animalia	Insecta	Lepidoptera		Sophronia		humerella	species	(Denis & Schiffermüller, 1775)	accepted	This very rare species has not been seen in Belgium for a long time and is thought to be extinct.	2021-03-12	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4808
5396	5396		Anacampsis blattariella (Hübner, 1796)	Animalia	Insecta	Lepidoptera	Gelechiidae	Anacampsis		blattariella	species	(Hübner, 1796)	accepted	A rather common species in Belgium, more observed in the northern part.	2021-03-06	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5396
3903	3903		Helcystogramma rufescens (Haworth, 1828)	Animalia	Insecta	Lepidoptera		Helcystogramma		rufescens	species	(Haworth, 1828)	accepted	A rather common species throughout Belgium.	2021-04-11	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/3903
4788	4788		Semioscopis steinkellneriana (Denis & Schiffermüller, 1775)	Animalia	Insecta	Lepidoptera		Semioscopis		steinkellneriana	species	(Denis & Schiffermüller, 1775)	accepted	A rare species in Belgium, most observed in the southern part of the country.	2021-03-05	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/4788
